task_2_correct,task_1_correct,uid,pickle_exists,understood,worker_id,use_relocation,tasks_easy,frustrated,use_navigation,use_delivery,object_qs,task_3_correct
0,0,5a230b16e4616,1,1,A175PJR0W3LO8I,0,4,6,0,0,6,0
-1,-1,5a24e6da180d9,0,-1,A3EQ6C5226X6XN,-1,-1,-1,-1,-1,-1,-1
0,0,5a230ce418636,0,-1,A2HNP1YL1IBFMU,-1,-1,-1,-1,-1,-1,-1
-1,-1,5a2355315405a,0,-1,A1IU5OP7BBZHZ7,-1,-1,-1,-1,-1,-1,-1
1,1,5a235b1059c16,0,-1,A26XN1TM6CV01T,-1,-1,-1,-1,-1,-1,-1
0,0,5a24749ac4ab6,0,-1,A39J8MSTUDVH0D,-1,-1,-1,-1,-1,-1,-1
-1,-1,5a23e1625346d,0,-1,A1S88VQY8G8CNC,-1,-1,-1,-1,-1,-1,-1
0,1,5a234e08d4608,1,0,A1A9SUYOFNNR3Y,0,2,6,0,0,6,0
-1,-1,5a2306d7f260b,0,-1,A3QI1RV4HQ9MOC,-1,-1,-1,-1,-1,-1,-1
-1,-1,5a2324c4f0011,0,-1,A6NN7XDLH3RON,-1,-1,-1,-1,-1,-1,-1
-1,-1,5a230717d4569,0,-1,A20SMUCY0FQA7Z,-1,-1,-1,-1,-1,-1,-1
-1,-1,5a25ac9c793df,0,-1,A3862RIFFUV141,-1,-1,-1,-1,-1,-1,-1
-1,-1,5a233c321e40d,0,-1,A2AMYX1J96G2JG,-1,-1,-1,-1,-1,-1,-1
-1,-1,5a23720365688,0,-1,A303MN1VOKQG5I,-1,-1,-1,-1,-1,-1,-1
1,1,5a23367fdd09c,0,-1,A1I9ZBV75AVWUS,-1,-1,-1,-1,-1,-1,-1
-1,-1,5a23609a5a1ca,0,-1,A3699R3L9NVDWY,-1,-1,-1,-1,-1,-1,-1
1,0,5a2310128331b,1,4,A2A52EATFDQJ1P,1,5,5,0,0,5,0
-1,-1,5a2372375837a,0,-1,A1SBFOZG5J97Z1,-1,-1,-1,-1,-1,-1,-1
-1,-1,5a2444b75e9a7,0,-1,A194R45ACMQEOR,-1,-1,-1,-1,-1,-1,-1
1,1,5a24631b9f5db,1,3,A1U0GNE5ELW5V7,1,5,4,3,1,4,0
-1,-1,5a244eddebc59,0,-1,AW9983V6TUGF8,-1,-1,-1,-1,-1,-1,-1
-1,-1,5a23a5baab4b9,0,-1,A36ABFLSNFESVJ,-1,-1,-1,-1,-1,-1,-1
-1,1,5a234275c863c,0,-1,A1NF6PELRKACS9,-1,-1,-1,-1,-1,-1,-1
1,1,5a232226692ee,0,-1,A3HTLXAPOBCVVO,-1,-1,-1,-1,-1,-1,-1
-1,-1,5a237392ea8c2,0,-1,A1DR8T1SIVDUK8,-1,-1,-1,-1,-1,-1,-1
-1,0,5a2338c4a08f7,0,-1,A3DZGDF9HCTAOB,-1,-1,-1,-1,-1,-1,-1
-1,-1,5a2428404a3e1,0,-1,A1Q7VWUBIJOK17,-1,-1,-1,-1,-1,-1,-1
-1,-1,5a2445ac2c972,0,-1,AE03LUY7RH400,-1,-1,-1,-1,-1,-1,-1
